Tile Index,Sub-Tile Index,Building Density,Building Height Avg,Building Height Stdev,Tree Density,Tree Height Avg,Tree Height Stdev,Shadow Factor 8am (With CDSM),Shadow Factor 12pm (With CDSM),Shadow Factor 4pm (With CDSM),Sky View Factor (With CDSM),Shadow Factor 8am (Without CDSM),Shadow Factor 12pm (Without CDSM),Shadow Factor 4pm (Without CDSM),Sky View Factor (Without CDSM)
2532_1153,00,11.1525,5.422551155090332,3.2937514781951904,4.2475,2.9434961742201295,2.330110455278756,,,,,,,,
2532_1153,01,0.0,0.0,0.0,0.165,2.378787878787879,1.2280207223001292,0.8913907,0.9303723,0.91840315,,0.9490731,0.9999752,0.99555707,
2532_1153,02,4.9275,3.496702194213867,1.7978407144546509,0.0,0.0,0.0,0.9360919,0.9973802,0.9807813,,0.9360919,0.9973802,0.9807813,
2532_1153,03,0.6125,2.6285715103149414,0.7855843901634216,13.767499999999998,10.788087888142364,7.452600641523588,0.86408514,0.9264999,0.90428317,,0.9455077,0.9995289,0.99076843,
2532_1153,04,0.0025,1.0,0.0,28.075,12.989047195013358,9.280834879716267,0.6831635,0.7326797,0.6483484,,0.903641,0.99237645,0.9940224,
2532_1153,10,2.705,9.198705673217773,3.203550338745117,2.9925,3.237259816207185,2.386718018692092,,,,,,,,
2532_1153,11,1.875,9.923999786376953,3.4615347385406494,1.915,2.3120104438642297,1.3326731141332993,0.88143325,0.95329285,0.9309487,,0.9288218,0.9946506,0.9550598,
2532_1153,12,1.7925,9.775453567504883,4.234553813934326,10.6025,8.2746993633577,4.622433208006634,0.85496145,0.9376091,0.9169789,,0.93362886,0.99720776,0.98402286,
2532_1153,13,8.62,10.375,3.4730536937713623,9.9325,6.428391643594261,5.504565924417692,0.67048407,0.8177148,0.77793753,,0.87729234,0.9880129,0.95513034,
2532_1153,14,21.8425,8.243905067443848,3.075287342071533,10.2425,5.448132780082988,3.3903633846323045,0.73733926,0.89971924,0.7625629,,0.86804056,0.9828117,0.8715544,
2532_1153,20,4.365,10.171248435974121,4.114887237548828,4.87,2.78388090349076,2.2312432723104862,,,,,,,,
2532_1153,21,19.3975,10.68681526184082,3.722230911254883,11.735,2.4273540690242865,1.8305232730686927,0.73721623,0.865859,0.6386703,,0.84573853,0.9648902,0.77176887,
2532_1153,22,10.4375,10.478322982788086,4.180988788604736,25.155,6.571755118266746,5.473465498944766,0.46728045,0.55638736,0.44731396,,0.79064953,0.8465403,0.75942725,
2532_1153,23,13.889999999999999,5.906947612762451,3.394265651702881,23.4725,4.42901267440622,4.453161368747989,0.61736375,0.7920263,0.5273891,,0.8398946,0.97326124,0.827078,
2532_1153,24,11.92,6.05683708190918,2.7527289390563965,37.8625,11.483856058104985,7.442174141087169,0.35277802,0.5311227,0.36860025,,0.8085737,0.982334,0.8835044,
2532_1153,30,15.76,6.419257640838623,3.1824517250061035,20.572499999999998,4.029286669097096,3.5311908438086,,,,,,,,
2532_1153,31,16.275000000000002,9.62949275970459,4.428478240966797,14.057500000000001,3.5963009069891516,3.2869631052731463,0.5281248,0.6961788,0.5812906,,0.8246448,0.9693848,0.8573883,
2532_1153,32,27.855,7.7563276290893555,4.215874671936035,13.885,2.658624414836154,2.1747044754105755,0.58498883,0.7368149,0.5303488,,0.7711299,0.94441307,0.70607567,
2532_1153,33,16.5475,5.749962329864502,4.121973037719727,28.8925,4.1689884918231375,3.7366469651462015,0.5293708,0.596076,0.34599274,,0.8640603,0.9115362,0.6801733,
2532_1153,34,14.32,11.840258598327637,5.480234146118164,25.142500000000002,7.623148056080342,5.360817515637836,0.42975986,0.63473135,0.18790053,,0.88355356,0.9728694,0.642718,
2532_1153,40,25.545,6.53082799911499,3.259669303894043,24.1875,3.288062015503876,2.8661469001085105,,,,,,,,
2532_1153,41,18.3825,7.954712390899658,4.534107208251953,30.595,4.31091681647328,3.721708790208359,0.4949226,0.62034106,0.25485787,,0.8192506,0.9128007,0.54249054,
2532_1153,42,21.55,8.889443397521973,4.712520599365234,19.23,3.795501820072803,3.4484413634423556,0.45409423,0.5984131,0.27936572,,0.7492659,0.8933185,0.49450323,
2532_1153,43,18.01,13.921571731567383,6.908205509185791,22.89,5.6976845784185235,4.563770645258024,0.49781883,0.6063824,0.29502803,,0.88736755,0.95072496,0.7458394,
2532_1153,44,15.4725,14.36015510559082,6.333672046661377,16.5425,7.469094755931691,6.404787127834705,0.424635,0.57737124,0.28016257,,0.8006396,0.88237596,0.7820965,
2534_1152,00,1.41,3.1489362716674805,1.1906025409698486,24.5475,4.239535594256035,3.888697579483614,,,,,,,,
2534_1152,01,13.032499999999999,6.099942684173584,1.9348158836364746,18.065,6.310822031552727,4.638016258356349,0.39667517,0.5264655,0.36154705,,0.96148694,0.9890632,0.94205445,
2534_1152,02,0.0,0.0,0.0,15.575,15.96115569823435,8.216733109833248,0.76479495,0.7891863,0.63944805,,0.99086654,1.0,0.946239,
2534_1152,03,20.6075,7.66880989074707,3.1075167655944824,8.475000000000001,9.520058997050148,6.970780481946968,0.8530337,0.8683848,0.67869234,,0.97190034,0.99144304,0.91070634,
2534_1152,04,0.54,2.6990740299224854,0.9657078981399536,70.2175,15.463274824651974,8.778020848424065,0.53444415,0.58215487,0.45085257,,0.9715464,0.99784267,0.88473105,
2534_1152,10,0.0,0.0,0.0,0.77,1.051948051948052,0.22192217520305274,,,,,,,,
2534_1152,11,1.0250000000000001,3.487804889678955,0.8121621608734131,21.0575,17.144841505401875,11.723542350872036,,,,,,,,
2534_1152,12,4.01,16.985036849975586,3.3850598335266113,14.015,14.36603638958259,9.93439856975068,0.70917386,0.79985344,0.58363676,,0.9764252,0.9934214,0.95153284,
2534_1152,13,11.7975,7.6172919273376465,2.993063449859619,41.5125,11.872688949111714,7.735630536131751,0.51477635,0.6290445,0.447128,,0.94633615,0.9899903,0.9114642,
2534_1152,14,7.86,9.421119689941406,5.411867141723633,44.372499999999995,10.323173136514733,7.611311859524572,0.37650108,0.50976026,0.25570953,,0.9032771,0.9914292,0.87532985,
2534_1152,20,0.0,0.0,0.0,5.6975,11.00043878894252,8.462108703149001,,,,,,,,
2534_1152,21,2.8850000000000002,3.7001733779907227,1.1687214374542236,39.725,11.346444304594085,7.633765475628114,0.38501054,0.48026204,0.4353951,,0.96746254,0.99849164,0.9671991,
2534_1152,22,2.0125,4.775155067443848,1.137886881828308,45.375,12.289476584022038,7.478818906279438,0.38236925,0.461796,0.41901767,,0.96223164,0.99862075,0.95820946,
2534_1152,23,28.37,10.85433578491211,6.0592498779296875,13.98,4.475858369098712,2.8881368052739265,0.78063095,0.8473468,0.7182807,,0.91536033,0.97846246,0.89644,
2534_1152,24,15.425,16.430631637573242,6.109386444091797,10.945,4.560986751941526,3.0690327801857444,0.8014246,0.86214215,0.7038764,,0.90052664,0.9613017,0.8232671,
2534_1152,30,0.0,0.0,0.0,17.6425,9.857729913561004,7.39712555412857,,,,,,,,
2534_1152,31,0.0,0.0,0.0,66.5775,12.690736359881342,7.998908398404683,0.29342264,0.3377728,0.12351085,,0.9731785,1.0,0.9726587,
2534_1152,32,7.2700000000000005,2.9700825214385986,1.5902900695800781,35.85,9.473152022315203,7.059858945852045,0.28195322,0.31844595,0.20856674,,0.95464194,0.9957214,0.9538666,
2534_1152,33,0.9175000000000001,1.9264304637908936,0.751045823097229,16.064999999999998,4.801587301587301,3.923443068320514,0.61516154,0.75105,0.63528764,,0.9398842,0.9831751,0.9300393,
2534_1152,34,21.7875,15.729202270507812,8.261149406433105,19.5675,6.551169030279801,4.793636608675969,0.6099257,0.7473824,0.628097,,0.8674276,0.95132446,0.88121027,
2534_1152,40,0.0,0.0,0.0,0.4,1.31875,0.4920858029856175,,,,,,,,
2534_1152,41,0.9450000000000001,3.3068783283233643,1.0620959997177124,43.669999999999995,9.648671857110145,7.428758271819981,,,,,,,,
2534_1152,42,3.7150000000000003,3.933378219604492,1.8836272954940796,30.0275,6.670302222962285,5.112801325200223,0.40323305,0.49358505,0.3889081,,0.94614303,0.99576116,0.95421994,
2534_1152,43,1.0625,4.783529281616211,2.345500946044922,24.462500000000002,6.618191108840061,4.6610790426533955,0.65557945,0.73611593,0.5721544,,0.9641793,0.9985082,0.9654926,
2534_1152,44,12.5125,11.942657470703125,8.413567543029785,28.470000000000002,6.867579908675799,4.760309560437694,0.62546194,0.7228584,0.5037715,,0.9080194,0.9751972,0.85204816,
2534_1153,00,21.13,16.289398193359375,6.033783435821533,4.67,7.490364025695931,6.206425253599138,,,,,,,,
2534_1153,01,6.6925,10.417632102966309,5.617063045501709,2.8674999999999997,5.463818657367044,3.852472170681683,0.8617393,0.89893806,0.7602227,,0.8808287,0.9137083,0.7839913,
2534_1153,02,1.7850000000000001,5.169467926025391,2.870328903198242,56.9925,9.32320042110804,6.310406759061583,0.5484421,0.64329153,0.4528642,,0.95127237,0.99731004,0.9087128,
2534_1153,03,6.3549999999999995,24.79740333557129,10.683167457580566,50.1075,12.254003891632989,8.004426338047729,0.15312478,0.22378014,0.16188908,,0.870409,0.9838577,0.9033621,
2534_1153,04,21.565,19.526199340820312,9.054902076721191,19.035,6.0396637772524295,4.162827570040826,0.3416576,0.66325533,0.27818424,,0.5991913,0.92368096,0.5050192,
2534_1153,10,5.58,7.528225898742676,2.2376925945281982,8.195,5.338316046369737,3.9668319598406443,,,,,,,,
2534_1153,11,1.6925,5.658788681030273,1.6124423742294312,0.3025,2.8595041322314048,2.1098187816268106,0.89277667,0.91901135,0.8205297,,0.93817604,0.9700511,0.89619565,
2534_1153,12,2.8049999999999997,8.78074836730957,7.558333396911621,38.067499999999995,8.18178236028108,5.224372831264184,0.73234296,0.78887343,0.6943052,,0.96074224,0.9973638,0.9556304,
2534_1153,13,16.755,16.43106460571289,4.801671504974365,33.03,9.654405086285195,6.125615217602629,0.31824267,0.43355352,0.1753788,,0.78830045,0.9319587,0.6914384,
2534_1153,14,21.462500000000002,12.618520736694336,6.730866432189941,14.555000000000001,5.536241841291653,4.053401965963782,0.3939991,0.62097704,0.32929656,,0.623382,0.8458147,0.5097291,
2534_1153,20,0.0,0.0,0.0,0.29750000000000004,1.6722689075630253,0.6095768431368785,,,,,,,,
