Tile Index,Sub-Tile Index,Building Density,Building Height Avg,Building Height Stdev,Tree Density,Tree Height Avg,Tree Height Stdev,Shadow Factor 8am (With CDSM),Shadow Factor 12pm (With CDSM),Shadow Factor 4pm (With CDSM),Sky View Factor (With CDSM),Shadow Factor 8am (Without CDSM),Shadow Factor 12pm (Without CDSM),Shadow Factor 4pm (Without CDSM),Sky View Factor (Without CDSM)
2536_1158,00,23.2475,6.620711803436279,2.284742832183838,12.0275,2.626896695073789,1.812866528004607,0.7124204,0.81248665,0.71424246,,0.89879256,0.9759752,0.93349844,
2536_1158,01,18.6125,7.6222968101501465,2.045877456665039,1.8525,3.6369770580296894,2.5011055122783685,0.8172488,0.87793773,0.7787071,,0.8709847,0.92623925,0.8457951,
2536_1158,02,3.65,8.160959243774414,2.555302619934082,3.2975,5.438968915845337,5.071052171607106,0.89943236,0.9699453,0.89566934,,0.9240581,0.990438,0.9265132,
2536_1158,03,31.005,8.680293083190918,2.5692687034606934,3.6350000000000002,3.121733149931224,2.414344630498264,0.8636667,0.9466166,0.83409774,,0.90805686,0.9789456,0.8638797,
2536_1158,04,17.7625,5.927093505859375,1.5550075769424438,8.95,6.0441340782122905,3.7899833734265704,0.82098603,0.8917351,0.79509467,,0.8888376,0.97751224,0.87543607,
2536_1158,10,23.9925,7.751380443572998,2.0018954277038574,6.875000000000001,7.862909090909091,5.597899499805025,,,,,,,,
2536_1158,11,6.3950000000000005,5.466771125793457,2.196261167526245,11.4475,7.023585935793841,4.977772228760399,0.7846335,0.87670803,0.7665227,,0.9002911,0.99216807,0.9327061,
2536_1158,12,0.0025,1.0,0.0,0.11,2.272727272727273,1.008230591491765,0.9521825,0.99684274,0.9816742,,0.9554838,1.0,0.9877726,
2536_1158,13,5.48,6.00501823425293,2.5499520301818848,5.6675,4.086016762240847,3.447138571033381,0.91366637,0.96439075,0.9390745,,0.9519038,0.99491644,0.97906685,
2536_1158,14,0.715,6.622377395629883,2.330413818359375,1.9625,4.845859872611465,4.707271654177628,0.7848145,0.89421976,0.7803825,,0.9308967,0.9935135,0.9295633,
2536_1158,20,0.0,0.0,0.0,1.6875,6.122962962962963,4.188660896962103,,,,,,,,
2536_1158,21,0.0,0.0,0.0,0.255,2.4607843137254903,1.296084364140555,0.9443114,0.99830735,0.96719015,,0.9464122,1.0,0.9687508,
2536_1158,22,0.0,0.0,0.0,0.0,0.0,0.0,0.96268654,1.0,0.9903715,,0.96268654,1.0,0.9903715,
2536_1158,23,0.4675,6.032085418701172,2.7709412574768066,0.6799999999999999,1.9816176470588236,1.1487014539369298,0.96791893,0.99520326,0.970381,,0.97305644,0.99933016,0.97888744,
2536_1158,24,3.7624999999999997,5.982059955596924,2.528313636779785,2.6550000000000002,1.7476459510357816,0.9228064104997865,0.90090847,0.9569011,0.9181827,,0.94084394,0.99455583,0.96248245,
2536_1158,30,0.0,0.0,0.0,5.8375,11.003854389721628,7.525914268176685,,,,,,,,
2536_1158,31,0.0,0.0,0.0,4.3025,6.969785008715863,5.179992620140906,0.82438415,0.97403353,0.95376414,,0.8635553,0.9999876,0.99259925,
